user_id,region,kyc_level,registration_date,total_transactions,total_value,total_fees_generated,last_transaction_date,days_since_last_txn,dormant_flag,cumulative_revenue,cumulative_pct,percentile_rank,value_segment
2926,Northern,Basic,2022-05-18,20,6094.68,134.34,2023-12-07,24,0,134.34,0.0008466814015533079,0.0002,High Value
1010,Ashanti,Basic,2024-08-09,13,5407.02,113.02,2023-12-15,16,0,247.36,0.0015589929394687083,0.0004,High Value
4840,Greater Accra,Enhanced,2023-10-27,19,5457.42,101.98,2023-12-24,7,0,349.34000000000003,0.0022017245855190755,0.0006,High Value
4215,Ashanti,Basic,2022-05-15,14,4185.12,99.44,2023-12-31,0,0,448.78000000000003,0.0028284478144193358,0.0008,High Value
3482,Ashanti,Basic,2024-06-03,14,5481.82,98.36,2023-12-15,16,0,547.14,0.0034483643147675816,0.001,High Value
842,Western,Basic,2022-03-09,12,5057.93,96.43,2023-12-21,10,0,643.5699999999999,0.004056116939092321,0.0012,High Value
1891,Greater Accra,Basic,2023-07-28,13,4191.47,94.83000000000001,2023-11-08,53,0,738.4,0.00465378552111778,0.0014,High Value
985,Western,Basic,2023-05-04,16,4049.08,94.1,2023-11-29,32,0,832.5,0.005246853258844193,0.0016,High Value
1703,Greater Accra,Basic,2023-07-22,15,4012.12,92.68,2023-12-28,3,0,925.1800000000001,0.005830971409029995,0.0018,High Value
4769,Western,Enhanced,2023-03-07,11,4354.15,92.68,2023-12-05,26,0,1017.8600000000001,0.006415089559215797,0.002,High Value
4194,Western,Enhanced,2023-01-29,8,3651.16,92.53999999999999,2023-12-25,6,0,1110.4,0.006998325355700411,0.0022,High Value
3257,Western,Basic,2024-02-02,16,4636.38,92.25,2023-12-20,11,0,1202.65,0.007579733419518281,0.0024,High Value
733,Western,Basic,2024-06-13,15,3837.36,92.1,2023-11-24,37,0,1294.75,0.008160196104370592,0.0026,High Value
2352,Northern,Basic,2022-10-13,9,3727.33,91.23,2023-10-23,69,0,1385.98,0.008735175591222671,0.0028,High Value
4650,Greater Accra,Basic,2024-06-11,10,3413.98,90.99,2023-12-30,1,0,1476.97,0.009308642471729859,0.003,High Value
2769,Ashanti,Basic,2022-04-19,15,4811.12,90.45,2023-12-20,11,0,1567.42,0.00987870598796104,0.0032,High Value
132,Greater Accra,Basic,2022-01-20,14,4223.3,90.08,2023-12-28,3,0,1657.5,0.01044643756941051,0.0034,High Value
341,Ashanti,Enhanced,2023-04-06,14,4123.13,89.61999999999999,2023-11-29,32,0,1747.12,0.011011269988698938,0.0036,High Value
2159,Ashanti,Basic,2022-01-31,12,4996.02,89.27000000000001,2023-12-21,10,0,1836.3899999999999,0.011573896523734398,0.0038,High Value
2368,Ashanti,Basic,2024-08-06,17,4193.23,88.64,2023-12-29,2,0,1925.03,0.012132552467114519,0.004,High Value
2227,Greater Accra,Enhanced,2022-03-31,16,4780.76,88.56,2023-12-29,2,0,2013.59,0.012690704208379672,0.0042,High Value
1738,Greater Accra,Basic,2023-06-15,16,3731.2200000000003,85.4,2023-12-28,3,0,2098.99,0.01322893996610375,0.0044,High Value
4063,Western,Enhanced,2024-02-16,11,4088.15,85.19,2023-11-16,45,0,2184.18,0.013765852193276045,0.0046,High Value
4571,Ashanti,Basic,2022-06-24,16,4050.44,85.06,2023-12-15,16,0,2269.24,0.014301945092011525,0.0048,High Value
1893,Western,Enhanced,2023-04-25,13,3673.15,84.7,2023-11-18,43,0,2353.9399999999996,0.014835769081229666,0.005,High Value
